2026-09-21,SE4,00:00,00:15,0.16721
2026-09-21,SE4,00:15,00:30,0.1636
2026-09-21,SE4,00:30,00:45,0.12578
2026-09-21,SE4,00:45,01:00,0.11291
2026-09-21,SE4,01:00,01:15,0.11629
2026-09-21,SE4,01:15,01:30,0.11279
2026-09-21,SE4,01:30,01:45,0.11629
2026-09-21,SE4,01:45,02:00,0.11279
2026-09-21,SE4,02:00,02:15,0.09642
2026-09-21,SE4,02:15,02:30,0.08728
2026-09-21,SE4,02:30,02:45,0.11279
2026-09-21,SE4,02:45,03:00,0.11291
2026-09-21,SE4,03:00,03:15,0.11053
2026-09-21,SE4,03:15,03:30,0.11291
2026-09-21,SE4,03:30,03:45,0.11742
2026-09-21,SE4,03:45,04:00,0.12216
2026-09-21,SE4,04:00,04:15,0.09145
2026-09-21,SE4,04:15,04:30,0.11291
2026-09-21,SE4,04:30,04:45,0.18313
2026-09-21,SE4,04:45,05:00,0.24309
2026-09-21,SE4,05:00,05:15,0.175
2026-09-21,SE4,05:15,05:30,0.27933
2026-09-21,SE4,05:30,05:45,0.37756
2026-09-21,SE4,05:45,06:00,0.54206
2026-09-21,SE4,06:00,06:15,0.45727
2026-09-21,SE4,06:15,06:30,0.57537
2026-09-21,SE4,06:30,06:45,0.92921
2026-09-21,SE4,06:45,07:00,1.31049
2026-09-21,SE4,07:00,07:15,1.35532
2026-09-21,SE4,07:15,07:30,1.57808
2026-09-21,SE4,07:30,07:45,1.48764
2026-09-21,SE4,07:45,08:00,1.47511
2026-09-21,SE4,08:00,08:15,1.36548
2026-09-21,SE4,08:15,08:30,1.30282
2026-09-21,SE4,08:30,08:45,1.39224
2026-09-21,SE4,08:45,09:00,0.874
2026-09-21,SE4,09:00,09:15,0.91578
2026-09-21,SE4,09:15,09:30,0.7113
2026-09-21,SE4,09:30,09:45,0.33691
2026-09-21,SE4,09:45,10:00,0.22671
2026-09-21,SE4,10:00,10:15,0.48527
2026-09-21,SE4,10:15,10:30,0.30722
2026-09-21,SE4,10:30,10:45,0.14407
2026-09-21,SE4,10:45,11:00,0.09349
2026-09-21,SE4,11:00,11:15,0.28283
2026-09-21,SE4,11:15,11:30,0.15739
2026-09-21,SE4,11:30,11:45,0.12205
2026-09-21,SE4,11:45,12:00,0.09744
2026-09-21,SE4,12:00,12:15,0.16416
2026-09-21,SE4,12:15,12:30,0.12657
2026-09-21,SE4,12:30,12:45,0.1067
2026-09-21,SE4,12:45,13:00,0.09541
2026-09-21,SE4,13:00,13:15,0.1102
2026-09-21,SE4,13:15,13:30,0.0962
2026-09-21,SE4,13:30,13:45,0.09597
2026-09-21,SE4,13:45,14:00,0.10466
2026-09-21,SE4,14:00,14:15,0.1102
2026-09-21,SE4,14:15,14:30,0.12216
2026-09-21,SE4,14:30,14:45,0.10828
2026-09-21,SE4,14:45,15:00,0.11765
2026-09-21,SE4,15:00,15:15,0.10015
2026-09-21,SE4,15:15,15:30,0.11087
2026-09-21,SE4,15:30,15:45,0.18629
2026-09-21,SE4,15:45,16:00,0.24094
2026-09-21,SE4,16:00,16:15,0.09653
2026-09-21,SE4,16:15,16:30,0.15028
2026-09-21,SE4,16:30,16:45,0.29762
2026-09-21,SE4,16:45,17:00,0.63498
2026-09-21,SE4,17:00,17:15,0.12318
2026-09-21,SE4,17:15,17:30,0.5494
2026-09-21,SE4,17:30,17:45,1.40319
2026-09-21,SE4,17:45,18:00,1.86814
2026-09-21,SE4,18:00,18:15,1.77115
2026-09-21,SE4,18:15,18:30,2.0769
2026-09-21,SE4,18:30,18:45,2.12443
2026-09-21,SE4,18:45,19:00,2.1653
2026-09-21,SE4,19:00,19:15,2.06538
2026-09-21,SE4,19:15,19:30,2.07927
2026-09-21,SE4,19:30,19:45,2.10953
2026-09-21,SE4,19:45,20:00,2.12025
2026-09-21,SE4,20:00,20:15,2.07272
2026-09-21,SE4,20:15,20:30,2.05398
2026-09-21,SE4,20:30,20:45,1.96828
2026-09-21,SE4,20:45,21:00,1.86938
2026-09-21,SE4,21:00,21:15,1.89264
2026-09-21,SE4,21:15,21:30,1.76618
2026-09-21,SE4,21:30,21:45,1.87062
2026-09-21,SE4,21:45,22:00,1.77092
2026-09-21,SE4,22:00,22:15,1.66321
2026-09-21,SE4,22:15,22:30,1.64661
2026-09-21,SE4,22:30,22:45,1.61647
2026-09-21,SE4,22:45,23:00,1.50853
2026-09-21,SE4,23:00,23:15,1.47218
2026-09-21,SE4,23:15,23:30,1.33195
2026-09-21,SE4,23:30,23:45,1.86057
2026-09-21,SE4,23:45,00:00,1.86034
